***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  CEPEL: DECOMP     - Versao 30.1 - Jan/2020(L)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA COMPASS COMERCIALIZADORA DE ENERGIA ELETRICA LTDA                                                                                                     


____________________________________________________________________

 PMO - MARCO/20 - ABR/20 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPERADO        
____________________________________________________________________

--------------------------------------
Resultado de operacao dos subsistemas.                                          
--------------------------------------
---------------------------------------------------
IPER;      Indice do periodo                                                                                                                                                                            
ICEN;      Indice do cenario                                                                                                                                                                            
IPAT;      Patamar de Carga                                                                                                                                                                             
Dur;       Duracao                                                                                                                                                                                      
SIST;      Numero do subsistema                                                                                                                                                                         
Nome Sist; Nome do subsistema                                                                                                                                                                           
Demanda;   Demanda                                                                                                                                                                                      
GerPeq;    Geracao das pequenas usinas                                                                                                                                                                  
Gter;      Geracao Termoeletrica                                                                                                                                                                        
GterAT;    Geracao termica antecipada                                                                                                                                                                   
Ghid;      Geração hidroeletrica                                                                                                                                                                        
Cbomb;     Energia Consumida para bombeamento                                                                                                                                                           
Compra;    Energia importada                                                                                                                                                                            
Venda;     Energia exportada                                                                                                                                                                            
IntercLiq; Saldo da energia de intercambio                                                                                                                                                              
Itaipu50;  Geracao 50Hz de Itaipu                                                                                                                                                                       
Itaipu60;  Geracao 60Hz de Itaipu                                                                                                                                                                       
Deficit;   Deficit no Subsistema                                                                                                                                                                        
ENA;       Energia Afluente                                                                                                                                                                             
EarmInic;  Energia Armazenada Inicial                                                                                                                                                                   
EarmInic%; Energia Armazenada Inicial em percentual                                                                                                                                                     
EarmFim;   Energia Armazenada Final                                                                                                                                                                     
EarmFim%;  Energia Armazenada Final em percentual                                                                                                                                                       
CMO;       Custo Marginal de Operacao                                                                                                                                                                   
---------------------------------------------------

@Tabela
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   1 ;    1 ;   1 ;  40.00 ;  1 ; SE            ;    50782.4 ;   3952.0 ;  3655.10 ;   554.00 ; 40555.04 ;     3.03 ;     0.00 ;     0.00 ;    4182.30 ;  2825.69 ;  6300.00 ;     0.00 ;  15934.8 ;      82392.49 ;    40.32 ;      87468.96 ;    42.81 ;  121.05 ;
   1 ;    1 ;   2 ;  46.00 ;  1 ; SE            ;    47719.2 ;   3952.0 ;  3655.10 ;   554.00 ; 37693.77 ;   115.60 ;     0.00 ;     0.00 ;    4044.93 ;  1900.00 ;  6277.93 ;     0.00 ;  15934.8 ;      82392.49 ;    40.32 ;      87468.96 ;    42.81 ;  118.34 ;
   1 ;    1 ;   3 ;  82.00 ;  1 ; SE            ;    38811.8 ;   3952.0 ;  3622.60 ;   554.00 ; 29592.41 ;   115.60 ;     0.00 ;     0.00 ;    2842.39 ;  1900.00 ;  3488.61 ;     0.00 ;  15934.8 ;      82392.49 ;    40.32 ;      87468.96 ;    42.81 ;  112.62 ;
   1 ;    1 ;  -  ;   -    ;  1 ; SE            ;    44100.9 ;   3952.0 ;  3639.24 ;   554.00 ; 34420.79 ;    88.80 ;     0.00 ;     0.00 ;    3490.68 ;  2120.40 ;  4921.73 ;     0.00 ;  15934.8 ;      82392.49 ;    40.32 ;      87468.96 ;    42.81 ;  116.19 ;
   1 ;    1 ;   1 ;  40.00 ;  2 ; S             ;    17763.2 ;   1773.0 ;   576.60 ;     0.00 ;  4913.60 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    404.4 ;       4938.25 ;    24.82 ;       4822.02 ;    24.23 ;  147.75 ;
   1 ;    1 ;   2 ;  46.00 ;  2 ; S             ;    15749.9 ;   1773.0 ;   642.50 ;     0.00 ;  2834.40 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    404.4 ;       4938.25 ;    24.82 ;       4822.02 ;    24.23 ;  144.38 ;
   1 ;    1 ;   3 ;  82.00 ;  2 ; S             ;    12242.5 ;   1773.0 ;   665.00 ;     0.00 ;  1531.28 ;     0.00 ;     0.00 ;     0.00 ;    8273.22 ;    -     ;    -     ;     0.00 ;    404.4 ;       4938.25 ;    24.82 ;       4822.02 ;    24.23 ;  112.62 ;
