 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     105.19 ;     103.74 ;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     105.19 ;     103.74 ;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     105.11 ;     103.74 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     105.19 ;     151.42 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     105.19 ;     151.42 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     105.11 ;     151.42 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      99.91 ;     229.69 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      99.90 ;     229.69 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      99.84 ;     229.69 ;
    6 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     104.12 ;     103.74 ;
    6 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     104.12 ;     103.74 ;
    6 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     103.64 ;     103.74 ;
    6 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     104.12 ;     151.42 ;
    6 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     104.12 ;     151.42 ;
    6 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     103.64 ;     151.42 ;
    6 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     102.32 ;     229.69 ;
    6 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     102.27 ;     229.69 ;
    6 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      98.61 ;     229.69 ;
    6 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     117.17 ;     103.74 ;
    6 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     117.17 ;     103.74 ;
    6 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     116.65 ;     103.74 ;
    6 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     117.17 ;     151.42 ;
    6 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     117.17 ;     151.42 ;
    6 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     116.65 ;     151.42 ;
    6 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     116.02 ;     229.69 ;
    6 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     115.85 ;     229.69 ;
    6 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     112.93 ;     229.69 ;
    6 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      78.84 ;     103.74 ;
    6 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      78.84 ;     103.74 ;
    6 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      78.40 ;     103.74 ;
    6 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      78.84 ;     151.42 ;
    6 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      78.84 ;     151.42 ;
    6 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      78.40 ;     151.42 ;
    6 ;    3 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      77.08 ;     229.69 ;
    6 ;    3 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      77.07 ;     229.69 ;
