
 CEPEL                       MODELO DE GERACAO DE SERIES SINTETICAS DE VAZOES E ENERGIAS - GEVAZP                    VERSAO  8_L                                     
                                                                                                                           PAG.   1
 PROGRAMA LICENCIADO PARA COMPASS COMERCIALIZADORA DE ENERGIA ELETRICA LTDA                                                                                                     
 -----------------------------------------------------------------------------------------------------------------------------------
 DATA : 17-02-2020 HORA :  20:34:54 CASO :     PMO - MARCO/20 - ABR/20 - REV 0 - FCF COM CVAR - 12 REE - VALOR ES
 -----------------------------------------------------------------------------------------------------------------------------------
             ,JAN               ,FEV               ,MAR               ,ABR               ,MAI               ,JUN               ,JUL               ,AGO               ,SET               ,OUT               ,NOV               ,DEZ               ,
 CAMARGOS    ,      246.00000000,      222.21590909,      197.97727273,      135.10227273,      101.50000000,       86.45454545,       72.17045455,       62.11363636,       64.94318182,       76.62500000,      109.32954545,      177.79545455,
 ITUTINGA    ,      246.00000000,      222.21590909,      197.97727273,      135.10227273,      101.50000000,       86.45454545,       72.17045455,       62.11363636,       64.94318182,       76.62500000,      109.32954545,      177.79545455,
 FUNIL-GRANDE,      577.21590909,      510.57954545,      454.17045455,      312.95454545,      230.43181818,      193.13636364,      161.97727273,      138.32954545,      141.50000000,      168.97727273,      251.14772727,      422.44318182,
 FURNAS      ,     1727.89772727,     1595.81818182,     1428.94318182,      978.01136364,      716.56818182,      601.40909091,      491.27272727,      404.15909091,      421.18181818,      496.61363636,      710.47727273,     1214.12500000,
 M. DE MORAES,     1928.39772727,     1797.60227273,     1611.53409091,     1104.67045455,      806.56818182,      672.19318182,      548.78409091,      451.04545455,      467.05681818,      550.59090909,      784.21590909,     1339.42045455,
 ESTREITO    ,     1970.73863636,     1846.64772727,     1656.36363636,     1139.75000000,      829.14772727,      689.98863636,      562.77272727,      462.12500000,      476.65909091,      561.67045455,      798.68181818,     1362.02272727,
 JAGUARA     ,     1986.87500000,     1867.85227273,     1675.62500000,     1155.88636364,      838.96590909,      697.77272727,      568.90909091,      467.02272727,      480.61363636,      565.86363636,      803.59090909,     1368.71590909,
 IGARAPAVA   ,     2036.17045455,     1927.75000000,     1729.79545455,     1199.25000000,      866.09090909,      719.07954545,      585.70454545,      480.26136364,      491.61363636,      578.64772727,      819.89772727,     1393.01136364,
 VOLTA GRANDE,     2148.88636364,     2054.14772727,     1845.29545455,     1288.90909091,      925.61363636,      766.06818182,      622.40909091,      509.62500000,      518.14772727,      609.18181818,      860.34090909,     1457.70454545,
 P. COLOMBIA ,     2426.34090909,     2347.94318182,     2116.77272727,     1490.53409091,     1064.40909091,      874.94318182,      707.80681818,      577.95454545,      582.22727273,      684.96590909,      965.01136364,     1630.38636364,
 CACONDE     ,       95.75000000,       97.05681818,       85.90909091,       58.82954545,       43.15909091,       35.80681818,       28.88636364,       24.39772727,       24.98863636,       30.76136364,       39.64772727,       69.21590909,
 E. DA CUNHA ,      156.44318182,      159.44318182,      140.26136364,       94.72727273,       69.70454545,       58.54545455,       47.71590909,       40.54545455,       41.65909091,       49.87500000,       64.05681818,      111.93181818,
 A.S.OLIVEIRA,      158.78409091,      161.94318182,      142.37500000,       96.28409091,       70.75000000,       59.56818182,       48.43181818,       41.19318182,       42.28409091,       50.64772727,       65.05681818,      113.50000000,
 MARIMBONDO  ,     3237.50000000,     3290.80681818,     2968.10227273,     2138.80681818,     1537.51136364,     1291.06818182,     1049.22727273,      871.28409091,      862.17045455,      987.89772727,     1336.69318182,     2196.09090909,
 A. VERMELHA ,     3616.12500000,     3732.53409091,     3384.92045455,     2458.26136364,     1758.95454545,     1482.82954545,     1207.72727273,     1008.81818182,      990.65909091,     1136.03409091,     1506.36363636,     2432.28409091,
 BATALHA     ,      186.88636364,      190.36363636,      194.21590909,      146.80681818,       93.85227273,       71.30681818,       56.07954545,       44.10227273,       37.70454545,       44.28409091,       77.21590909,      142.89772727,
 SERRA FACAO ,      311.44318182,      312.47727273,      315.04545455,      236.54545455,      149.13636364,      112.78409091,       88.62500000,       69.62500000,       59.32954545,       70.87500000,      125.34090909,      236.98863636,
 EMBORCACAO  ,      874.25000000,      870.93181818,      837.81818182,      610.11363636,      388.02272727,      298.42045455,      238.27272727,      191.06818182,      168.20454545,      199.61363636,      349.03409091,      645.97727273,
