 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     140.23 ;     103.74 ;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     140.23 ;     103.74 ;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     140.14 ;     103.74 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     140.23 ;     151.42 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     140.23 ;     151.42 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     140.14 ;     151.42 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     136.59 ;     229.69 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     136.59 ;     229.69 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     136.22 ;     229.69 ;
    6 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     147.18 ;     103.74 ;
    6 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     147.18 ;     103.74 ;
    6 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     146.92 ;     103.74 ;
    6 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     147.18 ;     151.42 ;
    6 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     147.18 ;     151.42 ;
    6 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     146.92 ;     151.42 ;
    6 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     141.79 ;     229.69 ;
    6 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     140.50 ;     229.69 ;
    6 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     138.41 ;     229.69 ;
    6 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     154.24 ;     103.74 ;
    6 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     154.24 ;     103.74 ;
    6 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     154.03 ;     103.74 ;
    6 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     154.24 ;     151.42 ;
    6 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     154.24 ;     151.42 ;
    6 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     154.03 ;     151.42 ;
    6 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     152.86 ;     229.69 ;
    6 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     152.80 ;     229.69 ;
    6 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     152.48 ;     229.69 ;
    6 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     122.27 ;     103.74 ;
    6 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     122.27 ;     103.74 ;
    6 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     122.04 ;     103.74 ;
    6 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     122.27 ;     151.42 ;
    6 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     122.27 ;     151.42 ;
    6 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     122.04 ;     151.42 ;
    6 ;    3 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     121.67 ;     229.69 ;
    6 ;    3 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     121.56 ;     229.69 ;
